store_id,item_id,candidate_model,backtest_mae,backtest_rmse,backtest_bias,backtest_wape_percent,model_priority
CA_1,FOODS_3_001,zero_forecast,0.5892857142857143,0.9819805060619657,-0.5892857142857143,100.0,0
CA_1,FOODS_3_001,mean_28_days,0.6900510204081632,0.7905694150420949,0.03571428571428572,117.09956709956708,4
CA_1,FOODS_3_001,mean_7_days,0.7142857142857143,0.8689660757568884,0.05357142857142859,121.21212121212122,3
CA_1,FOODS_3_001,last_value_naive,0.75,0.9728456051340169,-0.08928571428571429,127.27272727272727,1
CA_1,FOODS_3_001,weekly_seasonal_naive,0.8928571428571429,1.224744871391589,0.05357142857142857,151.5151515151515,2
CA_1,FOODS_3_002,last_value_naive,1.5446428571428572,2.1567998781263213,0.3482142857142857,81.2206572769953,1
CA_1,FOODS_3_002,mean_7_days,1.7538265306122445,2.2859932865436083,0.5982142857142856,92.21998658618375,3
CA_1,FOODS_3_002,zero_forecast,1.9017857142857142,3.0574849608320704,-1.9017857142857142,100.0,0
CA_1,FOODS_3_002,mean_28_days,2.095663265306122,2.5393585482823595,0.9553571428571429,110.1945003353454,4
CA_1,FOODS_3_002,weekly_seasonal_naive,2.2410714285714284,3.1608656138107847,0.5982142857142857,117.84037558685445,2
CA_1,FOODS_3_003,zero_forecast,0.3125,0.7849021777084254,-0.3125,100.0,0
CA_1,FOODS_3_003,last_value_naive,0.3125,0.7849021777084254,-0.3125,100.0,1
CA_1,FOODS_3_003,mean_28_days,0.3239795918367347,0.724040533311189,-0.15178571428571427,103.6734693877551,4
CA_1,FOODS_3_003,mean_7_days,0.3278061224489796,0.7345344214715405,-0.09821428571428571,104.89795918367346,3
CA_1,FOODS_3_003,weekly_seasonal_naive,0.41964285714285715,0.9112393444409339,-0.09821428571428571,134.28571428571428,2
CA_1,FOODS_3_004,zero_forecast,0.9642857142857143,1.6690459207925603,-0.9642857142857143,100.0,0
CA_1,FOODS_3_004,last_value_naive,1.0178571428571428,1.5754817857223413,-0.4642857142857143,105.55555555555556,1
CA_1,FOODS_3_004,mean_7_days,1.0357142857142858,1.446318337951185,-0.32142857142857156,107.40740740740742,3
CA_1,FOODS_3_004,weekly_seasonal_naive,1.0535714285714286,1.5059406173077154,-0.32142857142857145,109.25925925925925,2
CA_1,FOODS_3_004,mean_28_days,1.0797193877551021,1.4170292653207663,-0.04464285714285714,111.97089947089948,4
CA_1,FOODS_3_005,last_value_naive,0.5892857142857143,0.8964214570007952,-0.08928571428571429,100.0,1
CA_1,FOODS_3_005,zero_forecast,0.5892857142857143,0.9819805060619657,-0.5892857142857143,100.0,0
CA_1,FOODS_3_005,mean_7_days,0.6479591836734695,0.8033729913715709,-0.0892857142857143,109.95670995670999,3
CA_1,FOODS_3_005,weekly_seasonal_naive,0.6607142857142857,0.944911182523068,-0.08928571428571429,112.12121212121211,2
CA_1,FOODS_3_005,mean_28_days,0.7028061224489796,0.8301170927978186,0.026785714285714256,119.26406926406925,4
CA_1,FOODS_3_006,zero_forecast,0.6160714285714286,0.958980113006968,-0.6160714285714286,100.0,0
CA_1,FOODS_3_006,mean_7_days,0.639030612244898,0.7634842259439982,-0.15178571428571425,103.72670807453417,3
CA_1,FOODS_3_006,mean_28_days,0.6415816326530612,0.7371345514482248,0.008928571428571425,104.14078674948242,4
CA_1,FOODS_3_006,weekly_seasonal_naive,0.7232142857142857,1.0564428184106458,-0.15178571428571427,117.3913043478261,2
CA_1,FOODS_3_006,last_value_naive,1.0267857142857142,1.45467227531545,0.38392857142857145,166.66666666666669,1
CA_1,FOODS_3_007,mean_7_days,3.0714285714285716,5.4111562761481915,-1.3928571428571428,98.85057471264368,3
CA_1,FOODS_3_007,zero_forecast,3.107142857142857,6.144102863722254,-3.107142857142857,100.0,0
CA_1,FOODS_3_007,weekly_seasonal_naive,3.1964285714285716,5.693040864574423,-1.3928571428571428,102.87356321839081,2
CA_1,FOODS_3_007,last_value_naive,3.357142857142857,5.881265655816417,-2.357142857142857,108.04597701149426,1
CA_1,FOODS_3_007,mean_28_days,3.947704081632652,5.627607105572837,-0.13392857142857098,127.0525451559934,4
CA_1,FOODS_3_008,zero_forecast,0.9910714285714286,4.532619866825681,-0.9910714285714286,100.0,0
CA_1,FOODS_3_008,last_value_naive,1.1339285714285714,4.192893647930644,-0.49107142857142855,114.41441441441442,1
CA_1,FOODS_3_008,mean_7_days,1.1339285714285714,4.192893647930644,-0.49107142857142855,114.41441441441442,3
CA_1,FOODS_3_008,weekly_seasonal_naive,1.3125,4.763139720814412,-0.49107142857142855,132.43243243243242,2
CA_1,FOODS_3_008,mean_28_days,2.1505102040816326,4.603299892246777,0.5892857142857143,216.988416988417,4
CA_1,FOODS_3_009,zero_forecast,0.6339285714285714,1.105990183371573,-0.6339285714285714,100.0,0
CA_1,FOODS_3_009,mean_28_days,0.7512755102040816,0.9086110166577537,0.03571428571428571,118.51106639839033,4
CA_1,FOODS_3_009,last_value_naive,0.8125,1.1611263005006327,0.11607142857142858,128.16901408450704,1
CA_1,FOODS_3_009,mean_7_days,0.8227040816326531,0.9669275979057774,0.33035714285714285,129.77867203219316,3
CA_1,FOODS_3_009,weekly_seasonal_naive,0.8839285714285714,1.2642050014591328,0.33035714285714285,139.43661971830986,2
CA_1,FOODS_3_010,zero_forecast,0.5714285714285714,0.9728456051340169,-0.5714285714285714,100.0,0
CA_1,FOODS_3_010,last_value_naive,0.5714285714285714,0.9728456051340169,-0.5714285714285714,100.0,1
CA_1,FOODS_3_010,mean_7_days,0.6173469387755102,0.8065421279025868,-0.21428571428571427,108.03571428571428,3
CA_1,FOODS_3_010,mean_28_days,0.6702806122448981,0.8112726208286106,-0.125,117.29910714285717,4
CA_1,FOODS_3_010,weekly_seasonal_naive,0.6964285714285714,1.026436275942851,-0.21428571428571427,121.875,2
CA_1,FOODS_3_011,mean_28_days,1.5306122448979593,1.9470018814912873,-0.33035714285714296,54.07841369986481,4
CA_1,FOODS_3_011,mean_7_days,1.5446428571428572,1.9688259217625315,-0.5089285714285714,54.57413249211357,3
CA_1,FOODS_3_011,weekly_seasonal_naive,2.1517857142857144,2.80465174818041,-0.5089285714285714,76.02523659305994,2
CA_1,FOODS_3_011,last_value_naive,2.330357142857143,2.9805919833866175,-0.5803571428571429,82.33438485804416,1
CA_1,FOODS_3_011,zero_forecast,2.830357142857143,3.418698582794336,-2.830357142857143,100.0,0
CA_1,FOODS_3_012,last_value_naive,0.5892857142857143,1.5754817857223413,-0.44642857142857145,84.61538461538461,1
CA_1,FOODS_3_012,mean_7_days,0.6352040816326531,1.6789513247918797,-0.5535714285714286,91.20879120879121,3
CA_1,FOODS_3_012,mean_28_days,0.6505102040816327,1.7180019244008133,-0.5892857142857143,93.4065934065934,4
CA_1,FOODS_3_012,weekly_seasonal_naive,0.6785714285714286,1.7828548534783835,-0.5535714285714286,97.43589743589743,2
CA_1,FOODS_3_012,zero_forecast,0.6964285714285714,1.8468119248354136,-0.6964285714285714,100.0,0
CA_1,FOODS_3_013,zero_forecast,0.6339285714285714,1.844393047667908,-0.6339285714285714,100.0,0
CA_1,FOODS_3_013,weekly_seasonal_naive,1.0089285714285714,2.0066852554114494,-0.20535714285714285,159.1549295774648,2
CA_1,FOODS_3_013,mean_7_days,1.0140306122448979,1.98045294757311,-0.20535714285714285,159.95975855130783,3
CA_1,FOODS_3_013,last_value_naive,1.0803571428571428,2.037593117942273,-0.13392857142857142,170.4225352112676,1
CA_1,FOODS_3_013,mean_28_days,1.093112244897959,1.9978464170507324,-0.12499999999999997,172.43460764587525,4
CA_1,FOODS_3_014,zero_forecast,0.13392857142857142,0.5428101483418094,-0.13392857142857142,100.0,0
CA_1,FOODS_3_014,last_value_naive,0.13392857142857142,0.5428101483418094,-0.13392857142857142,100.0,1
CA_1,FOODS_3_014,weekly_seasonal_naive,0.13392857142857142,0.5428101483418094,-0.13392857142857142,100.0,2
CA_1,FOODS_3_014,mean_7_days,0.13392857142857142,0.5428101483418094,-0.13392857142857142,100.0,3
CA_1,FOODS_3_014,mean_28_days,0.22831632653061223,0.5612940587679182,-0.02678571428571427,170.47619047619048,4
CA_1,FOODS_3_015,zero_forecast,0.9553571428571429,1.6174274106034645,-0.9553571428571429,100.0,0
CA_1,FOODS_3_015,last_value_naive,1.7232142857142858,2.0852372252849998,0.29464285714285715,180.37383177570095,1
CA_1,FOODS_3_015,mean_7_days,1.7359693877551023,2.107142857142857,0.8303571428571429,181.70894526034718,3
CA_1,FOODS_3_015,weekly_seasonal_naive,1.8482142857142858,2.526643736546285,0.8303571428571429,193.45794392523365,2
CA_1,FOODS_3_015,mean_28_days,2.5114795918367347,3.508553687716897,1.5267857142857142,262.8838451268358,4
CA_1,FOODS_3_016,mean_28_days,1.6913265306122451,2.179229994137135,-0.4464285714285713,68.88311688311688,4
CA_1,FOODS_3_016,mean_7_days,1.7946428571428572,2.306545698923932,-0.16964285714285715,73.0909090909091,3
CA_1,FOODS_3_016,weekly_seasonal_naive,2.205357142857143,2.845736158837338,-0.16964285714285715,89.81818181818181,2
CA_1,FOODS_3_016,zero_forecast,2.455357142857143,3.247251585132088,-2.455357142857143,100.0,0
CA_1,FOODS_3_016,last_value_naive,2.6517857142857144,3.3152784843164276,1.7946428571428572,108.0,1
CA_1,FOODS_3_017,zero_forecast,0.08928571428571429,0.32732683535398854,-0.08928571428571429,100.0,0
