model,store_id,item_id,validation_actual_units,validation_forecast_units,mae,rmse,bias,wape_percent,training_days,total_training_demand,mean_daily_demand,demand_standard_deviation,zero_sales_days,zero_sales_percentage,coefficient_of_variation,demand_pattern
last_value_naive,CA_1,FOODS_3_033,10.0,28.0,0.7857,0.9258,0.6429,220.0,1913,327,0.1709,0.5588,1689,88.2906,3.2693,highly_intermittent
last_value_naive,CA_1,FOODS_3_034,69.0,112.0,2.25,2.5565,1.5357,91.3043,1913,2600,1.3591,2.0265,1089,56.9263,1.4911,intermittent
last_value_naive,CA_1,FOODS_3_035,28.0,28.0,0.7857,1.0351,0.0,78.5714,1913,3121,1.6315,1.7055,580,30.3189,1.0453,mixed
last_value_naive,CA_1,FOODS_3_036,19.0,0.0,0.6786,0.982,-0.6786,100.0,1913,727,0.38,0.8699,1486,77.679,2.2889,intermittent
last_value_naive,CA_1,FOODS_3_037,197.0,280.0,4.75,5.261,2.9643,67.5127,1913,7848,4.1025,4.2642,751,39.2577,1.0394,mixed
last_value_naive,CA_1,FOODS_3_038,25.0,56.0,1.1071,1.3496,1.1071,124.0,1913,294,0.1537,0.5149,1714,89.5975,3.35,highly_intermittent
last_value_naive,CA_1,FOODS_3_039,173.0,224.0,2.3214,2.9216,1.8214,37.5723,1913,7877,4.1176,4.3922,633,33.0894,1.0667,mixed
last_value_naive,CA_1,FOODS_3_040,25.0,28.0,0.75,0.9063,0.1071,84.0,1913,1260,0.6587,0.999,1170,61.1605,1.5167,intermittent
last_value_naive,CA_1,FOODS_3_041,139.0,168.0,2.8214,3.3541,1.0357,56.8345,1913,3632,1.8986,2.5148,819,42.8123,1.3246,mixed
last_value_naive,CA_1,FOODS_3_042,87.0,56.0,1.9643,2.6525,-1.1071,63.2184,1913,5100,2.666,2.8913,614,32.0962,1.0845,mixed
last_value_naive,CA_1,FOODS_3_043,46.0,168.0,4.3571,4.5513,4.3571,265.2174,1913,2289,1.1965,1.5568,938,49.0329,1.3011,mixed
last_value_naive,CA_1,FOODS_3_044,14.0,56.0,1.5,1.6257,1.5,300.0,1913,769,0.402,1.0222,1531,80.0314,2.5429,highly_intermittent
last_value_naive,CA_1,FOODS_3_045,7.0,28.0,0.8214,0.9063,0.75,328.5714,1913,1264,0.6607,0.9553,1117,58.39,1.4458,intermittent
last_value_naive,CA_1,FOODS_3_046,40.0,28.0,1.2143,1.669,-0.4286,85.0,1913,2322,1.2138,1.8724,1062,55.5149,1.5426,intermittent
last_value_naive,CA_1,FOODS_3_047,29.0,28.0,0.8929,1.118,-0.0357,86.2069,1913,572,0.299,0.9721,1656,86.5656,3.2512,highly_intermittent
last_value_naive,CA_1,FOODS_3_048,46.0,28.0,1.4286,1.8127,-0.6429,86.9565,1913,2130,1.1134,1.7203,1070,55.9331,1.545,intermittent
last_value_naive,CA_1,FOODS_3_049,24.0,56.0,1.4286,1.6257,1.1429,166.6667,1913,885,0.4626,0.8301,1326,69.3152,1.7944,intermittent
last_value_naive,CA_1,FOODS_3_050,2.0,0.0,0.0714,0.2673,-0.0714,100.0,1913,1626,0.85,1.3386,1094,57.1877,1.5749,intermittent
last_value_naive,TX_1,FOODS_3_001,2.0,0.0,0.0714,0.378,-0.0714,100.0,1913,869,0.4543,1.2742,1461,76.3722,2.805,intermittent
last_value_naive,TX_1,FOODS_3_002,28.0,0.0,1.0,1.8127,-1.0,100.0,1913,1490,0.7789,1.4182,1286,67.2243,1.8208,intermittent
last_value_naive,TX_1,FOODS_3_003,8.0,0.0,0.2857,0.5345,-0.2857,100.0,1913,141,0.0737,0.3397,1808,94.5112,4.6085,highly_intermittent
last_value_naive,TX_1,FOODS_3_004,3.0,0.0,0.1071,0.3273,-0.1071,100.0,1913,102,0.0533,0.2653,1827,95.5044,4.9754,highly_intermittent
last_value_naive,TX_1,FOODS_3_005,35.0,112.0,2.75,2.9338,2.75,220.0,1913,1778,0.9294,1.3667,1036,54.1558,1.4705,intermittent
last_value_naive,TX_1,FOODS_3_006,18.0,0.0,0.6429,1.0,-0.6429,100.0,1913,509,0.2661,0.6319,1568,81.9655,2.3751,highly_intermittent
last_value_naive,TX_1,FOODS_3_007,43.0,0.0,1.5357,3.4278,-1.5357,100.0,1913,17078,8.9273,12.4166,511,26.712,1.3909,mixed
last_value_naive,TX_1,FOODS_3_008,51.0,0.0,1.8214,3.6401,-1.8214,100.0,1913,2973,1.5541,4.7287,1463,76.4767,3.0427,intermittent
last_value_naive,TX_1,FOODS_3_009,7.0,0.0,0.25,0.6268,-0.25,100.0,1913,299,0.1563,0.6684,1755,91.7407,4.2766,highly_intermittent
last_value_naive,TX_1,FOODS_3_010,8.0,0.0,0.2857,0.6547,-0.2857,100.0,1913,384,0.2007,0.4899,1599,83.586,2.4407,highly_intermittent
last_value_naive,TX_1,FOODS_3_011,11.0,28.0,0.6786,0.8238,0.6071,172.7273,1913,859,0.449,0.782,1311,68.5311,1.7416,intermittent
last_value_naive,TX_1,FOODS_3_012,4.0,28.0,1.0,1.0,0.8571,700.0,1913,1392,0.7277,1.213,1185,61.9446,1.667,intermittent
last_value_naive,TX_1,FOODS_3_013,10.0,0.0,0.3571,1.0,-0.3571,100.0,1913,602,0.3147,0.7476,1501,78.4631,2.3756,intermittent
last_value_naive,TX_1,FOODS_3_014,4.0,0.0,0.1429,0.4629,-0.1429,100.0,1913,1340,0.7005,1.219,1203,62.8855,1.7403,intermittent
last_value_naive,TX_1,FOODS_3_015,39.0,0.0,1.3929,2.1794,-1.3929,100.0,1913,2039,1.0659,2.062,970,50.7057,1.9346,intermittent
last_value_naive,TX_1,FOODS_3_016,12.0,0.0,0.4286,0.7559,-0.4286,100.0,1913,143,0.0748,0.3471,1805,94.3544,4.6429,highly_intermittent
last_value_naive,TX_1,FOODS_3_017,5.0,0.0,0.1786,0.4226,-0.1786,100.0,1913,244,0.1275,0.3805,1697,88.7088,2.9835,highly_intermittent
last_value_naive,TX_1,FOODS_3_018,10.0,0.0,0.3571,0.6547,-0.3571,100.0,1913,250,0.1307,0.425,1718,89.8066,3.252,highly_intermittent
last_value_naive,TX_1,FOODS_3_019,15.0,0.0,0.5357,1.4516,-0.5357,100.0,1913,683,0.357,0.7959,1430,74.7517,2.2292,intermittent
last_value_naive,TX_1,FOODS_3_020,64.0,0.0,2.2857,3.7607,-2.2857,100.0,1913,4069,2.127,3.2619,922,48.1965,1.5336,mixed
last_value_naive,TX_1,FOODS_3_021,18.0,84.0,2.3571,2.5635,2.3571,366.6667,1913,4556,2.3816,3.4692,828,43.2828,1.4567,mixed
last_value_naive,TX_1,FOODS_3_022,10.0,0.0,0.3571,0.7071,-0.3571,100.0,1913,297,0.1553,0.5036,1697,88.7088,3.2437,highly_intermittent
last_value_naive,TX_1,FOODS_3_023,21.0,28.0,0.5357,0.7792,0.25,71.4286,1913,2187,1.1432,1.206,701,36.644,1.0549,mixed
last_value_naive,TX_1,FOODS_3_024,0.0,0.0,0.0,0.0,0.0,,1913,1201,0.6278,2.0215,1588,83.011,3.2199,highly_intermittent
last_value_naive,TX_1,FOODS_3_025,35.0,56.0,0.9643,1.1802,0.75,77.1429,1913,544,0.2844,0.621,1513,79.0904,2.1837,intermittent
last_value_naive,TX_1,FOODS_3_026,35.0,0.0,1.25,1.7423,-1.25,100.0,1913,1759,0.9195,1.1896,931,48.667,1.2937,mixed
last_value_naive,TX_1,FOODS_3_027,15.0,0.0,0.5357,1.0177,-0.5357,100.0,1913,767,0.4009,0.8915,1467,76.6858,2.2234,intermittent
last_value_naive,TX_1,FOODS_3_028,21.0,28.0,0.6786,0.9063,0.25,90.4762,1913,1179,0.6163,0.9822,1176,61.4741,1.5936,intermittent
last_value_naive,TX_1,FOODS_3_029,13.0,0.0,0.4643,0.8238,-0.4643,100.0,1913,2094,1.0946,2.0002,1090,56.9786,1.8273,intermittent
last_value_naive,TX_1,FOODS_3_030,332.0,280.0,4.6429,5.2712,-1.8571,39.1566,1913,18479,9.6597,12.0172,467,24.4119,1.2441,mixed
last_value_naive,TX_1,FOODS_3_031,30.0,0.0,1.0714,2.0,-1.0714,100.0,1913,1110,0.5802,0.9703,1204,62.9378,1.6722,intermittent
last_value_naive,TX_1,FOODS_3_032,31.0,56.0,1.0357,1.2101,0.8929,93.5484,1913,2025,1.0585,1.4553,1007,52.6398,1.3748,intermittent
last_value_naive,TX_1,FOODS_3_033,7.0,0.0,0.25,0.5669,-0.25,100.0,1913,339,0.1772,0.5578,1675,87.5588,3.1478,highly_intermittent
last_value_naive,TX_1,FOODS_3_034,34.0,28.0,0.7857,1.1952,-0.2143,64.7059,1913,1753,0.9164,1.5318,1198,62.6242,1.6717,intermittent
last_value_naive,TX_1,FOODS_3_035,11.0,28.0,0.6786,0.8238,0.6071,172.7273,1913,1448,0.7569,1.0624,1022,53.4239,1.4035,intermittent
last_value_naive,TX_1,FOODS_3_036,2.0,0.0,0.0714,0.2673,-0.0714,100.0,1913,205,0.1072,0.3737,1742,91.0612,3.4874,highly_intermittent
last_value_naive,TX_1,FOODS_3_037,32.0,84.0,1.8571,2.1044,1.8571,162.5,1913,1852,0.9681,1.4401,1068,55.8285,1.4875,intermittent
last_value_naive,TX_1,FOODS_3_038,4.0,0.0,0.1429,0.4629,-0.1429,100.0,1913,99,0.0518,0.3233,1841,96.2363,6.2477,highly_intermittent
last_value_naive,TX_1,FOODS_3_039,41.0,28.0,1.1071,1.4516,-0.4643,75.6098,1913,2393,1.2509,1.6658,897,46.8897,1.3317,mixed
last_value_naive,TX_1,FOODS_3_040,3.0,0.0,0.1071,0.3273,-0.1071,100.0,1913,366,0.1913,0.5245,1637,85.5724,2.7414,highly_intermittent
last_value_naive,TX_1,FOODS_3_041,48.0,28.0,1.5,2.9761,-0.7143,87.5,1913,1525,0.7972,1.262,1127,58.9127,1.5831,intermittent
last_value_naive,TX_1,FOODS_3_042,96.0,56.0,1.8571,2.2678,-1.4286,54.1667,1913,6598,3.449,2.344,115,6.0115,0.6796,regular
