store_id,item_id,selected_model,backtest_mae,validation_mae,validation_rmse,validation_bias,validation_wape_percent
CA_1,FOODS_3_001,zero_forecast,0.5892857142857143,0.17857142857142858,0.5,-0.17857142857142858,100.0
CA_1,FOODS_3_002,last_value_naive,1.5446428571428572,1.3214285714285714,2.1297216451250818,-1.3214285714285714,100.0
CA_1,FOODS_3_003,zero_forecast,0.3125,0.5357142857142857,0.944911182523068,-0.5357142857142857,100.0
CA_1,FOODS_3_004,zero_forecast,0.9642857142857143,0.8571428571428571,1.4142135623730951,-0.8571428571428571,100.0
CA_1,FOODS_3_005,last_value_naive,0.5892857142857143,0.5714285714285714,1.0,-0.5714285714285714,100.0
CA_1,FOODS_3_006,zero_forecast,0.6160714285714286,0.39285714285714285,0.7319250547113999,-0.39285714285714285,100.0
CA_1,FOODS_3_007,mean_7_days,3.0714285714285716,2.2448979591836733,2.496936898992648,0.4285714285714283,120.87912087912085
CA_1,FOODS_3_008,zero_forecast,0.9910714285714286,1.7857142857142858,3.615443067098218,-1.7857142857142858,100.0
CA_1,FOODS_3_009,zero_forecast,0.6339285714285714,0.35714285714285715,0.6546536707079771,-0.35714285714285715,100.0
CA_1,FOODS_3_010,zero_forecast,0.5714285714285714,0.6428571428571429,1.1019463300386794,-0.6428571428571429,100.0
CA_1,FOODS_3_011,mean_28_days,1.5306122448979593,2.1377551020408165,2.3743957340849513,1.678571428571429,145.99303135888505
CA_1,FOODS_3_012,last_value_naive,0.5892857142857143,2.5,2.7516228977511745,2.0,125.0
CA_1,FOODS_3_013,zero_forecast,0.6339285714285714,3.357142857142857,4.140393356054125,-3.357142857142857,100.0
CA_1,FOODS_3_014,zero_forecast,0.13392857142857142,1.1071428571428572,1.8992479714726187,-1.1071428571428572,100.0
CA_1,FOODS_3_015,zero_forecast,0.9553571428571429,1.4642857142857142,2.179449471770337,-1.4642857142857142,100.0
CA_1,FOODS_3_016,mean_28_days,1.6913265306122451,1.8163265306122447,2.315927548124782,-0.2499999999999998,54.1033434650456
CA_1,FOODS_3_017,zero_forecast,0.08928571428571429,0.10714285714285714,0.32732683535398854,-0.10714285714285714,100.0
CA_1,FOODS_3_018,mean_7_days,1.0752551020408163,1.1122448979591835,1.3627702877384937,-0.14285714285714293,59.890109890109876
CA_1,FOODS_3_019,mean_28_days,1.0899234693877553,1.9566326530612248,2.7513911138230585,-1.5,77.16297786720322
CA_1,FOODS_3_020,mean_28_days,5.58545918367347,5.028061224489797,5.880723438767148,0.3214285714285707,49.57243460764588
CA_1,FOODS_3_021,mean_7_days,1.2793367346938775,1.3826530612244898,2.198097507632731,-0.8928571428571429,94.42508710801394
CA_1,FOODS_3_022,zero_forecast,0.38392857142857145,0.35714285714285715,0.7559289460184544,-0.35714285714285715,100.0
CA_1,FOODS_3_023,mean_28_days,1.2040816326530612,1.0153061224489797,1.2682343503260503,0.10714285714285703,56.85714285714286
CA_1,FOODS_3_024,mean_7_days,2.3647959183673466,0.0,0.0,0.0,
CA_1,FOODS_3_025,zero_forecast,0.5446428571428571,1.4642857142857142,2.0441554316077406,-1.4642857142857142,100.0
CA_1,FOODS_3_026,mean_28_days,1.6409438775510203,1.836734693877551,2.1499881347560588,0.35714285714285693,88.66995073891626
CA_1,FOODS_3_027,zero_forecast,0.6071428571428571,0.5357142857142857,0.944911182523068,-0.5357142857142857,100.0
CA_1,FOODS_3_028,mean_7_days,1.0778061224489794,1.3061224489795922,1.6003826073148628,0.7857142857142857,96.24060150375942
CA_1,FOODS_3_029,mean_7_days,1.0573979591836735,0.8571428571428571,1.1338934190276817,0.07142857142857142,92.3076923076923
CA_1,FOODS_3_030,mean_28_days,4.075255102040816,2.7346938775510203,3.320276297821847,1.1428571428571423,37.35191637630662
CA_1,FOODS_3_031,mean_28_days,0.9649234693877551,0.9821428571428571,1.1355795068274745,0.4285714285714283,94.82758620689656
CA_1,FOODS_3_032,mean_28_days,0.864158163265306,1.0357142857142858,1.3343958351621004,0.3214285714285716,107.40740740740742
CA_1,FOODS_3_033,zero_forecast,0.4017857142857143,0.35714285714285715,0.7559289460184544,-0.35714285714285715,100.0
CA_1,FOODS_3_034,mean_7_days,1.375,1.5663265306122451,2.132115936657043,-0.607142857142857,63.56107660455487
CA_1,FOODS_3_035,mean_28_days,0.8705357142857143,0.9642857142857143,1.0949792654825636,0.35714285714285726,96.42857142857143
CA_1,FOODS_3_036,last_value_naive,0.6339285714285714,0.6785714285714286,0.9819805060619657,-0.6785714285714286,100.0
CA_1,FOODS_3_037,mean_28_days,2.4598214285714284,3.387755102040816,4.347031593336927,-0.07142857142857124,48.15083393763596
CA_1,FOODS_3_038,zero_forecast,0.5803571428571429,0.8928571428571429,1.1801936887041646,-0.8928571428571429,100.0
CA_1,FOODS_3_039,mean_7_days,2.2997448979591844,1.9234693877551021,2.346295386522406,0.5357142857142859,31.13129644921553
CA_1,FOODS_3_040,mean_7_days,0.35714285714285715,0.8112244897959181,0.955649154304261,-0.3214285714285715,90.85714285714283
