scenario,allocation_method,number_of_series,target_order_units,allocated_order_units,actual_demand_units,served_units,shortage_units,leftover_units,stockout_series,purchase_spend,holding_cost_units,shortage_cost_units,operational_cost_units,budget_limit,capacity_limit,unconstrained_spend,unconstrained_units,fill_rate_percent,stockout_series_percent,target_coverage_percent,budget_utilisation_percent,capacity_utilisation_percent,average_cost_per_series
balanced,milp_optimised,150,9548,8114,6492.0,5764.0,728.0,2350.0,74,9713.62,3137.0,3640.0,6777.0,9981.74,8114,12477.16,9548,88.79,49.33,84.98,97.31,100.0,45.18
balanced,proportional_heuristic,150,9548,7676,6492.0,6004.0,488.0,1672.0,43,9981.45,3137.0,2440.0,5577.0,9981.74,8114,12477.16,9548,92.48,28.67,80.39,100.0,94.6,37.18
near_full,milp_optimised,150,9548,9069,6492.0,6257.0,235.0,2812.0,39,11510.85,3137.0,1175.0,4312.0,11853.3,9069,12477.16,9548,96.38,26.0,94.98,97.11,100.0,28.75
near_full,proportional_heuristic,150,9548,9069,6492.0,6355.0,137.0,2714.0,15,11811.24,3137.0,685.0,3822.0,11853.3,9069,12477.16,9548,97.89,10.0,94.98,99.65,100.0,25.48
tight,milp_optimised,150,9548,6682,6492.0,5013.0,1479.0,1669.0,107,7628.08,3137.0,7395.0,10532.0,8110.15,6682,12477.16,9548,77.22,71.33,69.98,94.06,100.0,70.21
tight,proportional_heuristic,150,9548,6252,6492.0,5337.0,1155.0,915.0,71,8110.02,3137.0,5775.0,8912.0,8110.15,6682,12477.16,9548,82.21,47.33,65.48,100.0,93.56,59.41
